id,Text,sentiment_id,Date/Time,User ID,location_id,source_id,Confidence Score
1,I love this product!,1,2023-06-15 09:23:14,user123,1,1,0.85
2,The service was terrible.,2,2023-06-15 11:45:32,user456,2,2,0.65
3,This movie is amazing!,1,2023-06-15 14:10:22,moviefan789,3,3,0.92
4,I'm so disappointed with their customer support.,2,2023-06-15 17:35:11,forumuser1,4,4,0.78
5,Just had the best meal of my life!,1,2023-06-16 08:50:59,foodie22,5,5,0.88
6,The quality of this product is subpar.,2,2023-06-16 10:15:27,shopper123,6,6,0.72
7,I can't stop listening to this song. It's incredible!,1,2023-06-16 13:40:18,musiclover456,7,7,0.91
8,Their website is so user-friendly. Love it!,1,2023-06-16 16:05:36,testimonialuser1,8,8,0.87
9,I loved the movie! It was fantastic!,1,2023-07-02 09:12:34,user123,1,3,0.92
10,The customer service was terrible.,2,2023-07-02 10:45:21,user456,2,2,0.65
11,This book made me feel inspired. Highly recommended!,1,2023-07-02 12:34:56,bookworm789,3,9,0.88
12,I'm extremely disappointed with their product quality.,2,2023-07-02 15:21:43,shopper789,6,10,0.72
13,Just had the most amazing vacation! I can't wait to go back.,1,2023-07-02 18:01:23,travelenthusiast1,8,5,0.93
14,The food at this restaurant was awful. Never going back again!,2,2023-07-02 20:45:37,foodlover123,9,11,0.55
15,I can't stop listening to this song. It's my new favorite!,1,2023-07-03 09:17:52,musiclover789,7,7,0.91
16,Their website is so confusing and poorly designed.,2,2023-07-03 11:59:18,user789,4,12,0.68
17,I had an incredible experience at the theme park. So much fun!,1,2023-07-03 14:40:05,thrillseeker1,10,13,0.89
18,The product arrived damaged. Very disappointed.,2,2023-07-03 17:25:09,buyer123,11,10,0.76
19,The concert was absolutely breathtaking. Best performance ever!,1,2023-07-03 20:15:33,musicfan456,5,14,0.95
20,I had a terrible experience with their customer support.,2,2023-07-04 08:32:41,user1234,8,15,0.61
21,This movie is a masterpiece! I was blown away.,1,2023-07-04 14:05:27,cinephile789,2,3,0.93
22,The customer service at this store is top-notch.,1,2023-07-04 16:35:19,shopper456,1,2,0.82
23,I'm disappointed with the ending of this book. It fell flat.,2,2023-07-04 19:18:53,booklover123,3,9,0.68
24,The product I received was damaged. Unacceptable.,2,2023-07-04 21:52:41,buyer789,6,10,0.75
25,Just had the worst flight experience. Delayed and rude staff.,2,2023-07-05 09:10:15,traveler456,8,16,0.57
26,The hotel stay was absolutely amazing! Luxury at its finest.,1,2023-07-05 12:30:08,traveladdict1,5,5,0.95
27,The food at this restaurant was outstanding. Highly recommended!,1,2023-07-05 15:45:32,foodie789,9,11,0.89
28,This playlist is my go-to for workouts. Energizing and motivating!,1,2023-07-05 18:20:17,gymrat123,7,7,0.91
29,I had a frustrating experience navigating through their website.,2,2023-07-05 21:05:44,user987,4,12,0.67
